Family ID,Created at,Survey number,Priority date,Indicator,Level,Why don't you have it,What will you do to get it,How long will it take to achieve it,Estimated date
36150,2022-09-22,1º,2022-09-22,Credit,1,Not sure,Find my credit score ,6,2023-03-22
36150,2022-09-22,1º,2022-09-22,Bank services,1,Always use cash,Try to fine a good bank,4,2023-01-22
36150,2022-09-22,1º,2022-09-22,Civic Engagement,1,,"Dont ,now how",6,2023-03-22
8,2021-03-19,1º,2021-05-18,Credit,2,Past due balances,BUdget,12,2022-05-18
36446,2022-10-05,1º,2022-10-05,Income,1,single parent non-working,Finish cosmetology degree,12,2023-10-05
36446,2022-10-05,1º,2022-10-05,Debt,1,New Baby single parent non working,Will seek employment and manage a family budget,12,2023-10-05
36446,2022-10-05,1º,2022-10-05,Stable Income,1,New baby and single parent non working,Will seek employment that will work with my schedule,1,2022-11-05
35054,2022-11-28,1º,2022-11-28,Savings,1,not been able to ,get proper information on it,6,2023-05-28
19959,2021-12-17,1º,2021-12-17,Budget,2,I have not taken time to complete one,Sit down write down the money I am bringing home weekly and compare it to my bills.,12,2022-12-17
35022,2021-11-09,1º,2021-11-09,Savings,2,Because I do not have a job.,I will start by putting my spare change in a jar daily and deposit it in the bank at the end of every month. ,3,2022-02-09
35022,2021-11-09,1º,2021-11-09,Credit,2,I didn't think it was needed.,I will start checking my credit score every six months.,6,2022-05-09
35022,2021-11-09,1º,2021-11-09,Debt,1,I need to find a job.,I will start completing applications.,6,2022-05-09
35022,2022-05-13,2º,2022-05-13,Savings,2,I am not working,I am looking a part time job,12,2023-05-13
37201,2023-04-24,1º,2023-04-24,Savings,2,Not enough money,Financial classes,4,2023-08-24
28935,2022-01-05,1º,2022-01-05,Savings,2,I need to set up a budget,write down all the money I have coming in and going out,12,2023-01-05
28935,2022-04-28,2º,2022-04-28,Savings,2,I never made a budget,I made a budget just need to follow it.,6,2022-10-28
27876,2021-10-20,1º,2021-11-29,Savings,2,I just haven’t taken time to create a budget.,Create a budget.,6,2022-05-29
27876,2022-10-12,3º,2022-10-12,Income,2,Paying on loan,Pay off loan asap,6,2023-04-12
27876,2022-10-12,3º,2022-10-12,Savings,2,Currently paying on a loan,Save after loan paid off,8,2023-06-12
27876,2022-10-12,3º,2022-10-12,Credit,2,Current loan,Pay off loan on time,6,2023-04-12
29325,2021-10-19,1º,2021-11-18,Literacy,1,,,6,2022-05-18
29325,2021-10-19,1º,2021-11-18,Internet,1,,,3,2022-02-18
32562,2021-10-28,1º,2021-11-18,Literacy,1,,,6,2022-05-18
33535,2021-11-04,1º,2021-11-04,Income,2,"I don't have a job, or a car.",Start working when i can.,6,2022-05-04
33535,2021-11-04,1º,2021-11-04,Employability Readiness,2,I never knew how to work a computer properly. ,I have learned though my Home Visitor how to navigate on my tablet.,3,2022-02-04
33535,2021-11-04,1º,2021-11-04,Emotional Well-Being,2,I will atend trainings.,I will look up virtual trainings.,3,2022-02-04
37202,2022-12-19,1º,2022-12-19,Savings,1,Single parent working,Work on spending less,5,2023-05-19
37202,2023-04-25,2º,2023-04-25,Credit,2,Ms Jaqueline help me obtain my credit trough my bank ,,2,2023-06-25
29909,2023-01-12,1º,2023-01-12,Nutritious diet,2,,,6,2023-07-12
29909,2023-01-12,1º,2023-01-12,Physical Activity,2,,,7,2023-08-12
35261,2022-12-08,1º,2022-12-08,Income,2,I just started working,find a job,6,2023-06-08
35261,2022-12-08,1º,2022-12-08,Savings,2,I just started working,start saving a little every month,12,2023-12-08
19836,2021-11-02,1º,2021-11-02,Credit,2,"Trying to better my score now, recently looked into it.",Not spend on credit,6,2022-05-02
19836,2021-11-02,1º,2021-11-02,Budget,2,Never needed it,"Budget better, and finish my career goals.",4,2022-03-02
36033,2022-02-10,1º,2022-02-10,Income,2,COVID made my income drop drastically,set up a budget that fits the income I have available,12,2023-02-10
36033,2022-02-10,1º,2022-02-10,Stable Housing,1,my income drop drastically due to COVID.,APPLY FOR APARTMENTS WORKING WITH THE INCOME I HAVE AVAILABLE,12,2023-02-10
36033,2022-11-29,3º,2022-11-29,Physical Activity,2,have been busy ,start on this goal ,6,2023-05-29
12107,2022-11-29,1º,2022-11-29,Literacy,2,l don't speak fully English ,Plan on learning ,12,2023-11-29
36547,2022-10-18,1º,2022-10-18,Savings,1,poor financial decisions,we we have a plan in place to work on this ,3,2023-01-18
36547,2022-10-18,1º,2022-10-18,Credit,1,i was out of work last  year and fell behind in bills,,22,2024-08-18
36547,2022-10-18,1º,2022-10-18,Budget,1,poor financial decisions,we have a plan in place to fix this,6,2023-04-18
32396,2021-10-19,1º,2021-12-10,Savings,2,Haven't set up a budget,,6,2022-06-10
32396,2021-10-19,1º,2021-11-19,Physical Activity,2,Work and not making time.,Incorporate exercise into my time with my kids.,5,2022-04-19
32396,2022-10-12,3º,2022-10-12,Income,2,Job cut hours,Try to get extra hours and/or obtain part-time job,2,2022-12-12
32396,2022-10-12,3º,2022-10-12,Savings,2,Lost of hours at work,Budget more better,1,2022-11-12
32396,2022-10-12,3º,2022-10-12,Budget,2,Sometimes may go over budget,Cut some unnecessary things out,1,2022-11-12
33835,2023-03-24,1º,2023-03-24,Nutritious diet,2,DONT KNOW TO MANY RECIPIES,LEARN,12,2024-03-24
36660,2022-10-06,1º,2022-10-06,Resolve problems,2,Was not raised in a healthy home environment ,Reading about positive guidance and doing it ,2,2022-12-06
35311,2022-10-11,1º,2022-10-11,Credit,1,I havent started my credit.,Open up a credit card to build it up.,4,2023-02-11
35311,2022-10-11,1º,2022-10-11,Debt,2,Have to buy a car and didnt have money to pay up front for it.,Make my payments.,12,2023-10-11
35311,2022-10-11,1º,2022-10-11,Healthy teeth,2,Didnt properly take care of our teeth.,Go to dentist and stay aware of teeth brushing.,5,2023-03-11
35444,2021-11-12,1º,2021-11-12,Savings,1,Because I do not have a job yet ,As soon as I start working ,10,2022-09-12
35444,2021-11-12,1º,2021-11-12,Bank services,2,because of lack of time sometimes ,Go to the bank and get an checking account ,5,2022-04-12
35444,2021-11-12,1º,2021-11-12,Employability Readiness,1,Am still in school ,When i finish school ,6,2022-05-12
36497,2022-11-29,1º,2022-11-29,Generate income,2,I have not put time for my self to learn ,Plan on skills on training to learn ,12,2023-11-29
26061,2021-11-17,1º,2021-11-17,Income,2,Just started a new job,I am working,12,2022-11-17
26061,2021-11-17,1º,2021-11-17,Savings,2,Because I switch,I am working towards starting a savings,12,2022-11-17
26061,2022-05-09,2º,2022-05-09,Income,2,I have started a new job now,i am saving a little every month to build up mt savings,12,2023-05-09
26061,2022-05-09,2º,2022-05-09,Savings,2,I started a new job,I saving 30 dollars a week which adds up to a 120 dollars a month now.,12,2023-05-09
36318,2022-12-08,1º,2022-12-08,Income,2,I JUST RECENTLY RELOCATED,APPLY ONLINE AND IN PERSON FOR JOBS,6,2023-06-08
36318,2022-12-08,1º,2022-12-08,Savings,1,I AM LOOKING A JOB,START PUTTING MONEY AWAY EVERY MONTH WHEN I GET A JOB,12,2023-12-08
37119,2022-12-13,1º,2022-12-13,Income,2,,,7,2023-07-13
37119,2022-12-13,1º,2022-12-13,Budget,2,,,6,2023-06-13
36022,2022-05-06,1º,2022-05-06,Income,2,I only work part time,ask for more hours at work,12,2023-05-06
36022,2022-05-06,1º,2022-05-06,Savings,2,I work less than 40 hours a week,I will ask my supervisor if I could possibly get more hours.,12,2023-05-06
36022,2022-05-06,2º,2022-05-06,Income,2,I just started a new job,As I work I plan to put $30 dollars a week in a savings account and leave it there to build up my savings account.,12,2023-05-06
36022,2022-05-06,2º,2022-05-06,Savings,2,I just started working,I plan to start a savings account and add money every week.,12,2023-05-06
36022,2022-11-29,3º,2022-11-29,Income,2,have to get a better job ,set income on the side for basic needs ,6,2023-05-29
37356,2022-11-28,1º,2022-11-28,Savings,1,dont have the time,assist to financial sessions provided by telamon ,6,2023-05-28
126384,2021-11-10,1º,2021-11-11,Income,2,I am working on a full time work ,make over time and save money for extra savings ,6,2022-05-11
126384,2021-11-10,1º,2021-11-11,Credit,2,I have to start making credit ,apply for credit and pay monthly to build my credit ,9,2022-08-11
139288,2022-01-11,1º,2022-01-11,Savings,2,Pandemic,Try to do less unnecessary buying ,1,2022-02-11
139288,2022-01-11,1º,2022-01-11,Physical Activity,2,Because of the pandemic ,Do more at home outdoor activities ,1,2022-02-11
139288,2022-01-11,1º,2022-01-11,Enough space,2,We’re saving up for a bigger place,Keep saving to meet our goal,12,2023-01-11
139288,2022-09-27,1º,2022-09-27,Credit,1,No credit,Build credit,12,2023-09-27
139288,2022-09-27,1º,2022-09-27,Identification,2,Havent had the chance to make the appointments,Start making appointments to get their passports,6,2023-03-27
139288,2022-09-27,1º,2022-09-27,Continuous Learning,2,Dropped out of school,Get information to get m ged,12,2023-09-27
139288,2023-04-27,2º,2023-04-27,Savings,2,Haven’t taken it as a priority ,Try to save money weekly,3,2023-07-27
139288,2023-04-27,2º,2023-04-27,Physical Activity,2,Sometimes we work alot,Make time to get some activities done,2,2023-06-27
139288,2023-04-27,2º,2023-04-27,Internet,2,Haven’t had time to get any,Try to install internet access at the house,4,2023-08-27
36597,2022-12-09,1º,2022-12-09,Nutritious diet,2,Sometimes we get a little snack,,14,2024-02-09
18779,2022-01-21,1º,2022-01-21,Savings,2,I am making enough money to just get by.,work extra hours,12,2023-01-21
18779,2022-05-09,2º,2022-05-09,Savings,2,because I am not working I stay home to take care of the childrn,My husband works to provide for the family.,12,2023-05-09
18779,2022-05-09,2º,2022-05-09,Identification,2,I am not here leagally,I am planning to apply for my citizenship,12,2023-05-09
33197,2021-12-06,1º,2021-12-06,Savings,2,I have other bills,Save more,6,2022-06-06
33197,2021-12-06,1º,2021-12-06,Credit,2,Bad past credit,Pay debt,12,2022-12-06
33197,2021-12-06,1º,2021-12-06,Community,2,Always working ,Take some time away work ,2,2022-02-06
36483,2022-11-29,1º,2022-11-29,Credit,1,I have not checked my credit ,work on a plan to check it ,6,2023-05-29
29406,2022-05-04,1º,2022-05-04,Budget,2,I never took time to write one out ,I am going to be pro active at writing one out today.,12,2023-05-04
14007,2021-11-03,1º,2021-12-10,Budget,2,Havent taken the time to focus on a budget.,,6,2022-06-10
14007,2021-11-03,1º,2021-11-18,Internet,1,Its too expensive and we use our phones.,Look for better reasonably priced options.,6,2022-05-18
14007,2022-11-16,3º,2022-11-16,Savings,1,Pay doesn't equal out to bills,Dont know ,8,2023-07-16
14007,2022-11-16,3º,2022-11-16,Credit,1,Get behind on bills,Try to spend less,22,2024-09-16
14007,2022-11-16,3º,2022-11-16,Close relationships,1,Not many people we can rely on,Dont know ,23,2024-10-16
33488,2021-11-04,1º,2021-11-04,Savings,2,Haven't been saving alot,Start saving more,2,2022-01-04
33488,2021-11-04,1º,2021-11-04,Budget,2,We go over,Sticking to budget,1,2021-12-04
33488,2021-11-04,1º,2021-11-04,Entertainment,2,Need to make more time, Make more time,1,2021-12-04
34814,2021-11-10,1º,2021-11-10,Credit,2,I NEVER HAD A REASON TO CHECK IT.,I WILL LOOK FOR ONE  ONLINE TO JOIN FOR FREE TO CHECK MY CREDIT  MOMTHLY.,12,2022-11-10
34814,2021-11-10,1º,2021-11-10,Budget,2,I have been planning too but never got around  to it.,I will start documenting my income weekly and bills monthly and other house expenditures and see what I can stop doing to balance my budget.,12,2022-11-10
34814,2021-11-10,1º,2021-11-10,Employability Readiness,2,I never needed one before,Look on Google and pull up a resume I can Follow to create one for me.,6,2022-05-10
34814,2022-05-03,2º,2022-05-03,Budget,2,I had never taken time to make one.,I will write down all of my bills and my debt to if maybe  I can save a little every week ,12,2023-05-03
36257,2022-11-29,1º,2022-11-29,Nutritious diet,2,I have not put it as a plan,I would like to start planning it ,6,2023-05-29
35664,2022-01-08,1º,2022-01-08,Enough space,1,I am in the middle of a divorce,apply for apartments,12,2023-01-08
35664,2022-04-28,2º,2022-04-28,Savings,2,I just got a job.,Go to work every day and start saving a little every week.,12,2023-04-28
35664,2023-03-28,3º,2023-03-28,Credit,2,young and didnt care about credit,Pay off old over duebills,6,2023-09-28
35664,2023-03-28,3º,2023-03-28,Budget,2,love to eat ot,start cooking,3,2023-06-28
35664,2023-03-28,3º,2023-03-28,Civic Engagement,1,small town,n/a,23,2025-02-28
3191,2022-05-03,1º,2022-05-03,Income,2,I need a job,Apply for jobs online and in person,12,2023-05-03
3191,2022-05-03,1º,2022-05-03,Savings,2,Get a job,Complete a resume and apply for jobs.,12,2023-05-03
3191,2022-07-13,2º,2022-07-13,Income,2,because I have low income,work more hours,12,2023-07-13
34955,2021-11-04,1º,2021-11-04,Income,2,I dont have a job.,"Complete the G.E.D program, so i can get a better job.",6,2022-05-04
34955,2021-11-04,1º,2021-11-04,Budget,2,I recieve little to no income.,I baby sit most of the time.,6,2022-05-04
34955,2021-11-04,1º,2021-11-04,Employability Readiness,2,I never made one.,Attend training courses.,6,2022-05-04
35322,2022-11-28,1º,2022-11-29,Credit,2,I am working on it ,Build credit ,6,2023-05-29
35322,2022-11-28,1º,2022-11-29,Nutritious diet,2,,,6,2023-05-29
146054,2022-11-14,1º,2022-11-14,Income,1,Because of current employment,Get portfolio together,3,2023-02-14
146054,2022-11-14,1º,2022-11-14,Savings,1,because of employment,get a better job,6,2023-05-14
146054,2021-10-28,1º,2021-10-28,Income,2,the pay scale from work,I find a better paying job and continue my modeling career,12,2022-10-28
146054,2021-10-28,1º,2021-10-28,Savings,2,don't make enough money,find a higher paying job.,12,2022-10-28
146054,2021-10-28,1º,2021-10-28,Credit,2,I am getting help from credit fixing company.,working with a credit fixing company,3,2022-01-28
146054,2021-10-28,1º,2021-10-28,Bank services,2,My job does not pay enough money,I am working on getting a better paying jobs.,12,2022-10-28
146054,2021-10-28,1º,2021-10-28,Debt,2,I need a better paying job,I am completing applications and looking forward to getting a interview,12,2022-10-28
146054,2021-10-28,1º,2021-10-28,Budget,2,It takes all my income to pay my bills.,I am working on getting my modeling career back on track.,12,2022-10-28
146054,2021-10-28,1º,2021-10-28,Employability Readiness,2,I need to work on making a resume,I will go online and pull up a resume sample and follow it to make me one.,6,2022-04-28
146054,2021-10-28,1º,2021-10-28,Stable Income,2,I need to find a better paying job.,start filling out applications,12,2022-10-28
146054,2021-10-28,1º,2021-10-28,Identification,2,I have one I was born in the US clicked by mistake.,I have it,1,2021-11-28
146054,2021-10-28,1º,2021-10-28,Environment,2,It is in our natural environment,Talk with city hall and go to town meetings,2,2021-12-28
146054,2021-10-28,1º,2021-10-28,Garbage,2,Sometimes it is yard debre,make sure I don't throw any trash on the road side,6,2022-04-28
146054,2021-10-28,1º,2021-10-28,Enough space,2,Try to find a bigger low income apartment,fill out applications,12,2022-10-28
146054,2021-10-28,1º,2021-10-28,Electricity,2,the high cost of gas prices and lights,I will only burn needed lights and bulbs with 40watts instead of the 100 watts,4,2022-02-28
146054,2021-10-28,1º,2021-10-28,Transportation,2,because sometimes my car acts up,I will start saving at least 40 dollars a month to go toward a new car  s ,12,2022-10-28
146054,2021-10-28,1º,2021-10-28,Literacy,2,i need a better child,I am applying for a better job.,12,2022-10-28
146054,2021-10-28,1º,2021-10-28,Entertainment,2,I can't afford to take them to events as much as I would like too,Try to find community events that are free of charge ,2,2021-12-28
146054,2021-10-28,1º,2021-10-28,Community,2,no baby sitters,reach out to the people in my village for help,2,2021-12-28
146054,2021-10-28,1º,2021-10-28,Close relationships,2,I have always been independent and find it hard to ask for help,decide which one of the people I feel comfortable asking for help,6,2022-04-28
146054,2021-10-28,1º,2021-10-28,Civic Engagement,2,I sometimes forget,Pay more attention when people are talking about politics on TV,12,2022-10-28
146054,2022-05-04,2º,2022-05-04,Savings,2,It takes all my income to pay rent and utilities,Ask for a raise,6,2022-11-04
32658,2022-12-15,3º,2022-12-15,Savings,1,do not have enough income to save money,obtain information on how to save money,12,2023-12-15
34932,2021-11-02,1º,2021-11-29,Budget,2,The haven't taken out time to do it,Develop a budget.,6,2022-05-29
34932,2022-10-07,3º,2022-10-07,Income,2,Im on fmla ,When i go back to work full time,9,2023-07-07
34932,2022-10-07,3º,2022-10-07,Physical Activity,2,"Currently pregnant, just have to take time to do some extra exercise routines.   ",Browse the internet for some ideas.,9,2023-07-07
34932,2022-10-07,3º,2022-10-07,Stable Housing,1,Pregnant,When i go back to work full time,9,2023-07-07
21187,2021-11-12,1º,2021-11-12,Credit,2,Bills payme t timing ,Extramoneu ,6,2022-05-12
