Family ID,Created at,Survey number,Worker,Gender,Country of birth,People in household,Race,Hispanic,Housing situation,Rent vs. Own,Child mortality,Disability,Automobile,Veteran Status,LGBTQ,Early Childhood Education,Number of People in Household with GED or HS Diploma,Highest level,Highest level in household,Annual income,Primary economic activity:,Assistance:
36971,2022-11-18,1º,kmacedo,Female,United States of America,3,"Black or African American,Other",Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,Yes,Yes,1,High School/GED,High School/GED,0,Employed Full-Time,"Food stamps,WIC"
37211,2022-11-09,1º,snguyen,Female,Mexico,4,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,"Employed Full-Time,Stay-at-Home Caregiver","Food stamps,WIC"
30970,2021-11-11,1º,njaen,Female,United States of America,5,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,28176,Other,"Food stamps,WIC"
30970,2022-05-04,2º,njaen,Female,United States of America,5,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Other,Food stamps
30970,2023-02-13,3º,njaen,Female,United States of America,5,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Employed Full-Time,"WIC,Food stamps"
30970,2023-04-24,4º,njaen,Female,United States of America,5,,,,,,,,,,,,,,,,
35570,2022-11-29,1º,kmacedo,Female,United States of America,2,White,No,Single Family House,Live with parents,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Employed Full-Time,Food stamps
35570,2023-05-09,2º,kmacedo,Female,United States of America,2,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,,High School/GED,High School/GED,,Employed Full-Time,Food stamps
32216,2021-11-22,1º,agarcia4,Female,United States of America,4,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,"Food stamps,WIC"
32216,2022-05-05,2º,agarcia4,Female,United States of America,4,White,Yes,Apartment/Condominium,Own my home,No,No,Yes,No,No,,,,,,Unemployed,None
147140,2023-01-27,1º,mespino,Female,United States of America,3,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,"Employed Full-Time,Stay-at-Home Caregiver",None
35254,2021-11-10,1º,nanderson,Female,United States of America,3,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,10000,Employed Part-Time,Food stamps
35254,2022-05-03,2º,nanderson,Female,United States of America,3,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,10000,Employed Part-Time,Food stamps
21974,2021-10-20,1º,nanderson,Female,United States of America,4,White,No,Single Family House,Rent my home,No,Prefer not to say,Yes,No,No,Yes,0,High School/GED,High School/GED,1200,"Employed Full-Time,Other",
21974,2022-05-05,2º,nanderson,Female,United States of America,4,White,No,Single Family House,Rent my home,No,Prefer not to say,Yes,No,No,Yes,0,High School/GED,High School/GED,1200,"Employed Full-Time,Other",
33761,2021-11-11,1º,njaen,Female,United States of America,3,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Other,"Food stamps,WIC"
33761,2022-05-05,2º,njaen,Female,United States of America,3,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Other,Food stamps
161750,2022-03-29,1º,alopez,Female,United States of America,7,White,Yes,Single Family House,Own my home,No,No,Yes,No,No,Yes,1,Less than High School,High School/GED,33000,Employed Full-Time,Food stamps
161750,2022-05-05,2º,alopez,Female,United States of America,7,White,Yes,Single Family House,Own my home,No,No,Yes,No,No,Yes,,High School/GED,High School/GED,,Employed Full-Time,Food stamps
37364,2023-01-25,1º,mespino,Female,United States of America,5,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,2,Two-Year College Degree,Two-Year College Degree,,Unemployed,"Food stamps,WIC,Other"
37364,2023-04-21,2º,mespino,Female,United States of America,5,,,,,,,,,,,,,,,,
35499,2022-07-06,1º,mespino,Female,United States of America,2,Black or African American,No,,,,,,,,,,,,,,
35499,2022-07-06,2º,mespino,Female,United States of America,2,,,,,,,,,,,,,,,,
13927,2022-11-10,1º,snguyen,Female,United States of America,8,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,High School/GED,,Employed Full-Time,"Food stamps,WIC"
13927,2023-06-29,2º,snguyen,Female,United States of America,8,,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,SI,1,High School/GED,Less than High School,34000,,
13927,2022-07-06,1º,mespino,Female,United States of America,7,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,,Employed Full-Time,"Other,Food stamps"
13927,2022-07-06,2º,mespino,Female,United States of America,7,,,,,,,,,,,,,,,,
36947,2022-09-01,1º,kmacedo,Female,United States of America,4,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,2,Two-Year College Degree,Two-Year College Degree,,Other,
36947,2023-06-12,2º,kmacedo,Female,United States of America,4,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,"Employed Full-Time,Unemployed",None
167915,2022-07-07,1º,yliaogomez,Male,United States of America,3,White,No,Single Family House,Own my home,No,No,Yes,Yes,Yes,Yes,2,Four-Year College Degree,Four-Year College Degree,,Employed Full-Time,None
167915,2023-06-20,2º,yliaogomez,Male,United States of America,3,,,,,,,,,,,,,,,,
12776,2022-02-09,1º,vbryant,Female,United States of America,5,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,No,No,No,Yes,1,High School/GED,High School/GED,8840,Unemployed,"Food stamps,WIC"
12776,2022-05-05,2º,alopez,Female,United States of America,5,White,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,,High School/GED,High School/GED,,Employed Full-Time,Food stamps
25019,2021-11-03,1º,nanderson,Female,United States of America,5,Black or African American,No,Single Family House,Own my home,Yes,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Part-Time,Food stamps
25019,2022-05-03,2º,nanderson,Female,United States of America,5,Black or African American,No,Single Family House,Own my home,Yes,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Part-Time,Food stamps
35384,2021-10-14,1º,nanderson,Female,United States of America,4,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,Two-Year College Degree,2500,Employed Full-Time,"Food stamps,WIC"
35384,2022-05-05,2º,nanderson,Female,United States of America,4,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,Two-Year College Degree,,Employed Full-Time,"Food stamps,WIC"
35384,2022-10-28,3º,kmacedo,Female,United States of America,4,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,19691,Employed Full-Time,WIC
35384,2023-03-24,4º,kmacedo,Female,United States of America,4,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,WIC
36450,2022-11-29,1º,mespino,Female,United States of America,2,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,"Food stamps,WIC,Other"
36450,2023-04-05,2º,mespino,Female,United States of America,2,,,,,,,,,,,,,,,,Other
98629,2023-02-14,1º,mespino,Female,United States of America,8,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,Unemployed,Food stamps
25586,2023-01-11,1º,njaen,Female,United States of America,4,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,24583,Employed Full-Time,WIC
25586,2023-04-24,2º,njaen,Female,United States of America,4,Other,,,,,,,,,,,,,,,
35300,2021-11-10,1º,ialba,Female,United States of America,2,Black or African American,No,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,Unemployed,Food stamps
35300,2022-05-13,2º,vbryant,Female,United States of America,2,Black or African American,No,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Other,"Food stamps,WIC"
36541,2023-02-01,1º,yliaogomez,Female,United States of America,3,"White,Other",No,Single Family House,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,WIC
36541,2023-06-12,2º,yliaogomez,Female,United States of America,3,,,,,,,,,,,,,,,,
169706,2022-12-07,1º,yliaogomez,Female,United States of America,3,Other,No,Other,,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,"Food stamps,WIC"
140070,2023-01-23,1º,alopez,Female,United States of America,7,White,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,0,High School/GED,Less than High School,,Employed Full-Time,"TANF,WIC"
18211,2021-11-10,1º,ialba,Female,United States of America,6,White,Yes,Single Family House,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,Food stamps
18211,2022-05-09,2º,vbryant,Female,United States of America,6,Other,Yes,Single Family House,Rent my home,Yes,No,No,No,No,Yes,1,High School/GED,High School/GED,31200,Employed Full-Time,"Food stamps,WIC"
20225,2022-11-29,1º,mespino,Female,United States of America,7,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Part-Time,"Food stamps,WIC,Other"
20225,2023-04-03,2º,mespino,Female,United States of America,7,,,,,,,,,,,,,,,,
28403,2022-12-12,1º,njaen,Female,United States of America,3,Other,Yes,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Employed Full-Time,Food stamps
25025,2022-12-02,1º,mespino,Female,United States of America,5,White,No,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,"Food stamps,WIC,Other"
25025,2023-03-28,2º,mespino,Female,United States of America,5,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,Food stamps
36446,2022-10-05,1º,qalamin,Female,United States of America,3,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Stay-at-Home Caregiver,WIC
36997,2022-10-19,1º,dgomezserrano,Female,United States of America,1,"White,Native Hawaiian or Other Pacific Islander",Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,No,0,Less than High School,High School/GED,,Stay-at-Home Caregiver,
36997,2023-06-29,2º,avanegasvelasquez,Female,United States of America,1,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,"Employed Full-Time,Unemployed",Other
34021,2021-11-04,1º,swilliamson,Female,United States of America,3,White,No,Single Family House,Own my home,No,Yes,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,Stay-at-Home Caregiver,"WIC,Food stamps"
34021,2022-05-05,2º,swilliamson,Female,United States of America,3,White,No,Trailer/Mobile Home,Own my home,No,Yes,Yes,No,No,No,1,Two-Year College Degree,Two-Year College Degree,25000,Unemployed,"Food stamps,Other,WIC"
8,2021-03-19,1º,telamon_jetoya,Female,United States of America,4,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,"Food stamps,WIC"
8,2021-05-27,2º,telamon_jetoya,Female,United States of America,4,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,Food stamps
36346,2022-11-18,1º,kmacedo,Female,United States of America,2,Black or African American,No,Single Family House,Rent my home,No,No,Yes,Yes,Yes,Yes,2,High School/GED,High School/GED,1203322,Employed Full-Time,"Food stamps,WIC"
36346,2023-06-16,2º,kmacedo,Female,United States of America,2,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,24000,Employed Part-Time,Food stamps
172217,2023-04-21,1º,alopez,Female,United States of America,5,White,Yes,Trailer/Mobile Home,Live with another family,No,Yes,Yes,No,No,No,0,Less than High School,Less than High School,35000,Employed Full-Time,"Food stamps,WIC,Social Security"
172217,2023-04-21,2º,alopez,Female,United States of America,5,White,Yes,Trailer/Mobile Home,Live with another family,No,Yes,Yes,No,No,No,0,Less than High School,Less than High School,35000,Employed Full-Time,"Food stamps,Disability,WIC"
34923,2021-11-09,1º,mespino,Female,United States of America,2,Black or African American,No,Trailer/Mobile Home,Own my home,No,Yes,Yes,No,No,No,2,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,"WIC,Other"
34923,2022-05-06,2º,mespino,Female,United States of America,2,,,,,,,,,,,,,,,,"Food stamps,WIC,Disability"
34923,2022-12-09,3º,mespino,Female,United States of America,2,Black or African American,No,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,2,Graduate Degree,Graduate Degree,,Employed Full-Time,"Food stamps,WIC,Other"
34923,2023-03-31,4º,mespino,Female,United States of America,2,Black or African American,No,Trailer/Mobile Home,Own my home,No,Yes,Yes,No,No,Yes,2,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,"Food stamps,WIC,Other"
65667,2022-06-01,1º,kmacedo,Female,United States of America,3,"White,Other",No,Trailer/Mobile Home,Live with parents,No,No,Yes,Yes,No,Yes,1,High School/GED,High School/GED,45000,Employed Full-Time,"Food stamps,Other"
65667,2022-10-18,2º,kmacedo,Female,United States of America,3,White,No,Trailer/Mobile Home,Live with partner in their home,No,No,Yes,No,No,Yes,3,High School/GED,High School/GED,41000,Employed Full-Time,Food stamps
65667,2023-06-13,3º,kmacedo,Female,United States of America,3,"White,Asian,American Indian or Alaska Native",No,Trailer/Mobile Home,Live with parents,No,No,Yes,Yes,No,Yes,5,High School/GED,High School/GED,,Employed Full-Time,"WIC,Food stamps"
36264,2022-11-13,1º,qalamin,Female,United States of America,2,Black or African American,No,Single Family House,Own my home,No,No,Yes,No,No,Yes,1,Four-Year College Degree,Four-Year College Degree,,Employed Full-Time,None
35022,2021-11-09,1º,vbryant,Female,United States of America,3,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Unemployed,"Food stamps,WIC"
35022,2022-05-13,2º,vbryant,Female,United States of America,3,White,No,Single Family House,Rent my home,No,Yes,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Unemployed,"Food stamps,WIC"
18263,2022-11-29,1º,jdeleon,Female,United States of America,5,Other,Yes,Trailer/Mobile Home,Pagando,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,28000,"Employed Full-Time,Unemployed",Food stamps
18263,2023-04-24,2º,yliaogomez,Female,United States of America,5,,,,,,,,,,,,,,,,
34696,2023-01-12,1º,njaen,Female,United States of America,4,"White,Black or African American",No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,2,Two-Year College Degree,Two-Year College Degree,0,Employed Full-Time,"Food stamps,WIC"
34696,2023-04-24,2º,njaen,Female,United States of America,4,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,,,,,Other,Food stamps
34696,2023-04-24,3º,njaen,Female,United States of America,4,Other,,,,,,Yes,No,No,Yes,,,,,Other,Food stamps
36410,2022-11-28,1º,mespino,Female,United States of America,5,,,,,,,,,,,0,Less than High School,Less than High School,,Stay-at-Home Caregiver,"Food stamps,Other"
36410,2023-04-21,2º,mespino,Female,United States of America,5,Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,,,,
36609,2023-01-26,1º,mespino,Female,United States of America,3,Black or African American,No,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,"Food stamps,Other"
36609,2023-04-06,2º,mespino,Female,United States of America,3,,,,,,,,,,,,,,,,
